Pin Number,Device Pin Name,IO Type,Assigned Peripheral,Assigned Function ,User Label, All Pin Functions
33,PA0,OD,GPIO,Open-Drain Output,LED1,"PA0, UART0.TX, I2C0.SDA, TIMA0.CCP0, TIMA0.FAULT1, TIMA1.FAULT1, TIMG8.CCP1, SYSCTL.FCC_IN"
31,PA27,SD,GPIO,Standard Output,LED2,"PA27, RTC.RTC_OUT, SPI1.CS1_POCI1, TIMG8.CCP1, TIMA0.FAULT2, TIMA1.FAULT2, CANFD0.CANRX, TIMG7.CCP1, ADC0.0, COMP0.IN0-, OPA0.IN0-"
59,PB7,SD,GPIO,Standard Output,clrPIN,"PB7, UART1.RX, SPI1.POCI, SPI0.CS2_POCI2, TIMG8.CCP1, UART2.RTS, TIMG6.CCP1, TIMA1.CCP1_CMPL"
61,PB9,SD,SPI1,"SPI SCLK (Clock)",,"PB9, UART1.RTS, SPI1.SCLK, TIMA0.CCP1, TIMA0.CCP0_CMPL"
60,PB8,SD,SPI1,"SPI PICO (Peripheral In, Controller Out)",,"PB8, UART1.CTS, SPI1.PICO, TIMA0.CCP0, COMP1.OUT"
9,PA16,SD,SPI1,"SPI POCI (Peripheral Out, Controller In)",,"PA16, COMP2.OUT, SPI1.POCI, I2C1.SDA, TIMA1.CCP1, TIMA1.CCP1_CMPL, TIMA0.CCP2_CMPL, SYSCTL.FCC_IN, ADC1.1, OPA1.OUT"
58,PB6,SD,SPI1,"SPI CS0 (Chip Select 0)",,"PB6, UART1.TX, SPI1.CS0, SPI0.CS1_POCI1, TIMG8.CCP0, UART2.CTS, TIMG6.CCP0, TIMA1.CCP0_CMPL"
13,PA20,SD,BOARD,"Debug Clock",,"PA20, DEBUGSS.SWCLK"
12,PA19,HS,BOARD,"Debug Data In Out",,"PA19, DEBUGSS.SWDIO"


Peripheral,Usage
SPI,1 out of 2 instances (50%)

